"name46","reg46","name37","reg37","name36","reg36","name34","reg34","name32","reg32","name7","reg7","name5","reg5","name1","reg1","mainland","offshore"
"Andaman and Nicobar","AN","Andaman and Nicobar","AN","Andaman and Nicobar","AN","Andaman and Nicobar","AN","Andaman and Nicobar","AN","Andaman and Nicobar","AN","Eastern Region","EAST","India","IND",FALSE,FALSE
"Arunachal Pradesh","AR","Arunachal Pradesh","AR","Arunachal Pradesh","AR","Arunachal Pradesh","AR","Arunachal Pradesh","AR","North-Eastern Region","NORTHEAST","North-Eastern Region","NORTHEAST","India","IND",TRUE,FALSE
"Assam","AS","Assam","AS","Assam","AS","Assam","AS","Assam","AS","North-Eastern Region","NORTHEAST","North-Eastern Region","NORTHEAST","India","IND",TRUE,FALSE
"Bihar","BR","Bihar","BR","Bihar","BR","Bihar","BR","Bihar","BR","Eastern Region","EAST","Eastern Region","EAST","India","IND",TRUE,FALSE
"Chandigarh","CH","Chandigarh","CH","Chandigarh","CH","Chandigarh","CH","Punjab and Chandigarh","PBH","Northern Region","NORTH","Northern Region","NORTH","India","IND",TRUE,FALSE
"Chhattisgarh","CT","Chhattisgarh","CT","Chhattisgarh","CT","Chhattisgarh","CT","Chhattisgarh","CT","Western Region","WEST","Western Region","WEST","India","IND",TRUE,FALSE
"Dadra and Nagar Haveli","DN","Dadra and Nagar Haveli","DN","Dadra and Nagar Haveli","DN","Dadra and Nagar Haveli","DN","Gujarat, Daman, Diu, Dadara, and Nagar","GJN","Western Region","WEST","Western Region","WEST","India","IND",TRUE,FALSE
"Goa","GA","Goa","GA","Goa","GA","Goa","GA","Goa","GA","Western Region","WEST","Western Region","WEST","India","IND",TRUE,FALSE
"Gujarat","GJ","Gujarat","GJ","Gujarat","GJ","Gujarat, Daman, and Diu","GJD","Gujarat, Daman, Diu, Dadara, and Nagar","GJN","Western Region","WEST","Western Region","WEST","India","IND",TRUE,FALSE
"Haryana","HR","Haryana","HR","Haryana","HR","Haryana","HR","Haryana","HR","Northern Region","NORTH","Northern Region","NORTH","India","IND",TRUE,FALSE
"Himachal Pradesh","HP","Himachal Pradesh","HP","Himachal Pradesh","HP","Himachal Pradesh","HP","Himachal Pradesh","HP","Northern Region","NORTH","Northern Region","NORTH","India","IND",TRUE,FALSE
"Jammu and Kashmir","JK","Jammu and Kashmir","JK","Jammu and Kashmir","JK","Jammu and Kashmir","JK","Jammu and Kashmir","JK","Northern Region","NORTH","Northern Region","NORTH","India","IND",TRUE,FALSE
"Jharkhand","JH","Jharkhand","JH","Jharkhand","JH","Jharkhand","JH","Jharkhand","JH","Eastern Region","EAST","Eastern Region","EAST","India","IND",TRUE,FALSE
"Karnataka","KA","Karnataka","KA","Karnataka","KA","Karnataka","KA","Karnataka","KA","Southern Region","SOUTH","Southern Region","SOUTH","India","IND",TRUE,FALSE
