case,region,region1,MW
current,NORTH,NORTH,
current,NORTH,WEST,15420
current,NORTH,SOUTH,
current,NORTH,EAST,19530
current,NORTH,NORTHEAST,3000
current,WEST,NORTH,15420
current,WEST,WEST,
current,WEST,SOUTH,12120
current,WEST,EAST,12790
current,WEST,NORTHEAST,
current,SOUTH,NORTH,
current,SOUTH,WEST,12120
current,SOUTH,SOUTH,
current,SOUTH,EAST,7830
current,SOUTH,NORTHEAST,
current,EAST,NORTH,19530
current,EAST,WEST,12790
current,EAST,SOUTH,7830
current,EAST,EAST,
current,EAST,NORTHEAST,2860
current,NORTHEAST,NORTH,3000
current,NORTHEAST,WEST,
current,NORTHEAST,SOUTH,
current,NORTHEAST,EAST,2860
current,NORTHEAST,NORTHEAST,
new,NORTH,NORTH,
new,NORTH,WEST,1
new,NORTH,SOUTH,
new,NORTH,EAST,1
new,NORTH,NORTHEAST,1
new,WEST,NORTH,1
new,WEST,WEST,
new,WEST,SOUTH,1
new,WEST,EAST,1
new,WEST,NORTHEAST,
new,SOUTH,NORTH,
new,SOUTH,WEST,1
new,SOUTH,SOUTH,
new,SOUTH,EAST,1
new,SOUTH,NORTHEAST,
new,EAST,NORTH,1
new,EAST,WEST,1
new,EAST,SOUTH,1
new,EAST,EAST,
new,EAST,NORTHEAST,1
new,NORTHEAST,NORTH,1
new,NORTHEAST,WEST,
new,NORTHEAST,SOUTH,
new,NORTHEAST,EAST,1
new,NORTHEAST,NORTHEAST,
